Time,Event,Severity,Source,Destination,Confidence
12:45:52,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:52,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:53,NEW_THREAT,Low,192.168.0.127,34.107.243.93,0.09
12:45:53,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:53,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:54,NEW_THREAT,Low,192.168.0.127,216.58.209.14,0.09
12:45:54,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:54,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:54,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:55,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:55,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:56,NEW_THREAT,Low,192.168.0.127,216.58.209.14,0.09
12:45:56,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:56,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:56,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:56,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:57,NEW_THREAT,Low,192.168.0.127,216.58.209.14,0.09
12:45:57,NEW_THREAT,Low,192.168.0.127,216.58.209.14,0.09
12:45:57,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:57,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:57,NEW_THREAT,Low,192.168.0.127,172.211.123.249,0.09
12:45:57,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:57,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:58,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:45:58,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:45:58,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:45:59,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:45:59,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:45:59,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:45:59,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:45:59,NEW_THREAT,Low,192.168.0.127,178.235.152.14,0.09
12:45:59,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:00,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:00,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:00,NEW_THREAT,Low,142.250.186.193,192.168.0.127,0.09
12:46:00,NEW_THREAT,Low,192.168.0.127,8.8.8.8,0.09
12:46:00,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:00,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:01,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:01,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:01,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:01,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:01,NEW_THREAT,Low,192.168.0.127,178.235.152.14,0.09
12:46:01,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:01,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:01,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:02,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:02,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:02,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:02,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:02,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:02,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:02,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:03,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:03,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:03,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:03,NEW_THREAT,Low,192.168.0.127,142.250.186.193,0.09
12:46:03,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:46:03,NEW_THREAT,Low,142.250.186.193,192.168.0.127,0.09
12:46:04,NEW_THREAT,Low,192.168.0.127,178.235.152.14,0.09
12:46:04,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:04,NEW_THREAT,Low,192.168.0.127,216.58.209.14,0.09
12:46:04,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:04,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:04,NEW_THREAT,Low,192.168.0.127,178.235.152.14,0.09
12:46:04,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:46:04,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:05,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:05,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:05,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:05,NEW_THREAT,Low,192.168.0.127,178.235.152.14,0.09
12:46:05,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:05,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:05,NEW_THREAT,Low,192.168.0.127,178.235.152.14,0.09
12:46:06,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:06,NEW_THREAT,Low,142.250.186.193,192.168.0.127,0.09
12:46:06,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:06,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:06,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:06,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:06,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:07,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:46:08,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:08,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:08,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:08,NEW_THREAT,Low,192.168.0.127,178.235.152.14,0.09
12:46:08,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:46:08,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:08,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:08,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:08,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:46:09,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:09,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:46:09,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:46:09,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:09,NEW_THREAT,Low,178.235.152.14,192.168.0.127,0.09
12:46:09,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:09,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:46:10,NEW_THREAT,Low,192.168.0.127,216.58.209.14,0.09
12:46:10,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:10,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:10,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:10,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:10,NEW_THREAT,Low,52.182.143.211,192.168.0.127,0.09
12:46:10,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:10,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:11,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:46:11,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:46:11,NEW_THREAT,Low,192.168.0.127,142.250.186.193,0.09
12:46:11,NEW_THREAT,Low,142.250.186.193,192.168.0.127,0.09
12:46:12,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:12,NEW_THREAT,Low,52.182.143.211,192.168.0.127,0.09
12:46:12,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:12,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:14,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:14,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:14,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:14,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:14,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:16,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:16,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:16,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:18,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:18,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:18,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:20,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:20,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:20,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:20,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:20,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
